название,фото,цена,краткая информация
ToyotaCamry,https://im.mashina.kg/tachka/images//f/4/c/f4c40877ba134d679e5d42c234e12399_240x180.jpg,"$8500

720800сом","2006 г., 2.4 л., автомат
седан, бензин
руль слева, 276 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//d/3/0/d30a8da4b84e650071c96b3bcd63d5ad_240x180.jpg,"$8600

729280сом","2002 г., 3 л., автомат
седан, бензин
руль слева, 150 000 км
Узген
"
ToyotaCorolla,https://im.mashina.kg/tachka/images//e/6/9/e696d43d9871f07fb1da3baba175405d_240x180.jpg,"$5896

500000сом","2003 г., 1.6 л., автомат
хэтчбек 5 дв., бензин
руль слева, 300 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//d/0/d/d0d71d41da6172fe26d0817c84f3a1fe_240x180.jpg,"$8000

678400сом","2002 г., 2.4 л., автомат
седан, бензин
руль слева, 320 000 км
Ош
   "
ToyotaMatrix,https://im.mashina.kg/tachka/images//1/6/f/16fca56f2c060f70b3f0aec17b58c1d9_240x180.jpg,"$4304

365000сом","2002 г., 1.8 л., механика
минивэн, бензин
руль слева
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//7/7/7/77782bed1837e0a916bff75a41cfe012_240x180.jpg,"$11000

932800сом","2005 г., 3 л., автомат
седан, бензин
руль слева
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//4/d/7/4d75fdd40aa5ac5b970a44d3370a8b7c_240x180.jpg,"$13500

1144800сом","2014 г., 2.5 л., автомат
седан, бензин
руль слева, 77 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//d/e/2/de2c535883e233682520a117a4ced087_240x180.jpg,"$22500

1908000сом","2018 г., 2.5 л., автомат
седан, бензин
руль слева, 70 000 км
Ош
   "
ToyotaAlphard,https://im.mashina.kg/tachka/images//a/9/a/a9ae33bf1fa086d27bc186008ac5aaa0_240x180.jpg,"$12700

1076960сом","2005 г., 3 л., автомат
минивэн, бензин
руль слева, 226 457 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//a/c/6/ac6f4e29a893a99ed904946a97afb235_240x180.jpg,"$19500

1653600сом","2017 г., 2.5 л., вариатор
седан, гибрид
руль слева, 32 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//0/b/d/0bdfadf77f409141c34621cc252af715_240x180.jpg,"$11000

932800сом","2011 г., 2.5 л., автомат
седан, бензин
руль слева, 170 000 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//8/a/0/8a00fe1da720b47e0ac5c941558735c1_240x180.jpg,"$4481

380000сом","2003 г., 1.6 л., механика
седан, бензин
руль слева, 337 254 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//7/1/5/715f61de89619c9bbb33fda257bdfa60_240x180.jpg,"$5300

449440сом","2003 г., 1.5 л., автомат
универсал, бензин
руль справа, 350 000 км
Кара-К"
ToyotaSienna,https://im.mashina.kg/tachka/images//e/6/a/e6a2b974628d108a0d428a8f5312f3da_240x180.jpg,"$26000

2204800сом","2015 г., 3.5 л., автомат
минивэн, бензин
руль слева, 101 000 км
Ош
   "
ToyotaCrownMajesta,https://im.mashina.kg/tachka/images//e/6/5/e65b422dd01b5c3290bbfa0597fcdc68_240x180.jpg,"$7665

650000сом","2005 г., 4.3 л., автомат
седан, бензин
руль справа
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//a/7/3/a73068eaf08e7c57fb387ca49604cfb1_240x180.jpg,"$5425

460000сом","2002 г., 1.6 л., механика
седан, бензин
руль слева, 202 000 км
Ош
   "
ToyotaCamry(Japan),https://im.mashina.kg/tachka/images//0/9/4/09499d14a84a19fdaa50a6be143cf9bb_240x180.jpg,"$8200

695360сом","2004 г., 2.4 л., автомат
седан, бензин
руль справа, 130 800 км
Ош
   "
ToyotaAvensisVerso,https://im.mashina.kg/tachka/images//b/6/8/b684876152b6a58109fe411569df7bad_240x180.jpg,"$6000

508800сом","2002 г., 2 л., автомат
минивэн, бензин
руль слева, 295 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//3/8/4/384ff241b53e5b6ba65e8026a0313704_240x180.jpg,"$7800

661440сом","2005 г., 2.4 л., автомат
седан, бензин
руль слева
Ош
   "
ToyotaAuris,https://im.mashina.kg/tachka/images//2/2/5/22520bf8f95c8d07c7a7647413a72a6e_240x180.jpg,"$7200

610560сом","2008 г., 1.6 л., механика
хэтчбек 5 дв., бензин
руль слева, 260 000 км
Ош
   "
ToyotaAvensisVerso,https://t1-client.toyota-europe.com/images/toyota-logo.jpg,"$5307

450000сом","2002 г., 2 л., автомат
минивэн, бензин
руль справа, 223 000 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//0/1/e/01eba1de6086ea776461f581ab8b542f_240x180.jpg,"$5071

430000сом","2003 г., 1.4 л., механика
хэтчбек 5 дв., бензин
руль слева, 240 000 км
Ош
   "
ToyotaPrius,https://im.mashina.kg/tachka/images//0/4/7/0470678fec1afcd93cefa4f6781ec18f_240x180.jpg,"$15900

1348320сом","2016 г., 1.8 л., вариатор
хэтчбек 5 дв., гибрид
руль слева, 135 000 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//6/2/9/629dd32ae538869f26b9aa6802c23957_240x180.jpg,"$5700

483360сом","2003 г., 1.6 л., механика
универсал, бензин
руль слева, 220 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//9/1/e/91e5c81c0c095a90bf1f60681d164ac1_240x180.jpg,"$7300

619040сом","2002 г., 2.4 л., автомат
седан, бензин
руль слева, 274 000 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//7/3/4/7342773095af6e47ba838762ac42aa3f_240x180.jpg,"$9800

831040сом","2010 г., 1.6 л., автомат
седан, бензин
руль слева
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//4/c/e/4ced0a29d8f169a4da546b17585a6135_240x180.jpg,"$9300

788640сом","2005 г., 2.4 л., автомат
седан, бензин
руль справа, 245 000 км
Ош
   "
ToyotaAlphard,https://im.mashina.kg/tachka/images//4/d/f/4df784a626079041fa0ff20fc1459161_240x180.jpg,"$16800

1424640сом","2007 г., 3 л., автомат
минивэн, бензин
руль слева, 200 000 км
Ош
   "
ToyotaCorollaVerso,https://im.mashina.kg/tachka/images//4/f/d/4fd846e4516971a094820da819d94e53_240x180.jpg,"$8000

678400сом","2005 г., 1.8 л., механика
минивэн, бензин
руль слева, 227 000 км
Ош
   "
ToyotaAuris,https://im.mashina.kg/tachka/images//d/3/d/d3dca6b54702ef504c9a96f5e0e5d93c_240x180.jpg,"$6132

520000сом","2007 г., 1.6 л., робот
хэтчбек 5 дв., бензин
руль слева
Ош
   "
ToyotaMarkII,https://im.mashina.kg/tachka/images//f/2/5/f25be382c030eb0cda2f4184c5038085_240x180.jpg,"$6000

508800сом","2002 г., 2.5 л., автомат
седан, бензин
руль справа
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//6/f/d/6fd7702c5ca38baeedba850c308a777e_240x180.jpg,"$13500

1144800сом","2011 г., 2.4 л., вариатор
седан, гибрид
руль слева, 90 000 км
Ош
   "
ToyotaAlphard,https://im.mashina.kg/tachka/images//9/c/2/9c251029c2740350c55e9a39d4cbee2b_240x180.jpg,"$12000

1017600сом","2008 г., 2.4 л., вариатор
минивэн, гибрид
руль слева
Араван"
ToyotaWish,https://im.mashina.kg/tachka/images//1/0/5/10532d687e2001b1a9255a745ed25635_240x180.jpg,"$5896

500000сом","2003 г., 2 л., вариатор
минивэн, бензин
руль справа, 202 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//0/8/1/0810c44d1675b05c7e74802dc6c40712_240x180.jpg,"$6840

580000сом","2001 г., 2.4 л., автомат
седан, бензин
руль слева, 280 000 км
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//9/a/c/9ac5b969a8d0beaf99e72557df40b211_240x180.jpg,"$7000

593600сом","2007 г., 1.8 л., механика
седан, бензин
руль слева, 170 000 км
Араван"
ToyotaVerso,https://im.mashina.kg/tachka/images//d/5/a/d5a83cc99c5f003b25eabe266c6ca78a_240x180.jpg,"$12000

1017600сом","2014 г., 1.6 л., механика
минивэн, бензин
руль слева, 144 000 км
Араван"
ToyotaYaris,https://im.mashina.kg/tachka/images//3/d/9/3d99d51e77c1ba3d3ed67e7ae1da978d_240x180.jpg,"$3420

290000сом","2003 г., 1.3 л., механика
хэтчбек 5 дв., бензин
руль слева, 175 000 км
Ош
   "
ToyotaVerso,https://im.mashina.kg/tachka/images//f/c/8/fc8948ef2e048855c0825a1cfe161b64_240x180.jpg,"$10500

890400сом","2011 г., 1.8 л., механика
минивэн, бензин
руль слева, 144 500 км
Ош
   "
ToyotaVerso,https://im.mashina.kg/tachka/images//3/8/0/380b5a24cd2d078dfdf7745595def27c_240x180.jpg,"$11500

975200сом","2010 г., 1.8 л., вариатор
минивэн, бензин
руль слева, 112 600 км
Ош
   "
ToyotaCaldina,https://im.mashina.kg/tachka/images//5/5/8/558b3175762a192e53a92e22fa16aa59_240x180.jpg,"$4009

340000сом","2000 г., 2 л., автомат
универсал, бензин
руль справа
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//f/4/b/f4bcf8136b89496eb908624c46d4ce54_240x180.jpg,"$6132

520000сом","2004 г., 2.4 л., автомат
седан, бензин
руль слева, 165 000 км
Ош
   "
ToyotaAlphard,https://im.mashina.kg/tachka/images//5/8/0/580f9e02da7dfb609ef09b05fa291315_240x180.jpg,"$11888

1008102сом","2004 г., 2.4 л., автомат
минивэн, бензин
руль справа
Ош
   "
ToyotaAllion,https://im.mashina.kg/tachka/images//6/2/6/626e74d78ef7320943f4542d0ff3a3bf_240x180.jpg,"$7200

610560сом","2004 г., 1.8 л., автомат
седан, бензин
руль справа, 237 560 км
Узген
"
ToyotaCorollaVerso,https://im.mashina.kg/tachka/images//d/6/6/d662b375bd360563acb869cff82af713_240x180.jpg,"$8500

720800сом","2005 г., 1.8 л., механика
минивэн, бензин
руль слева, 200 000 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//9/7/f/97fe73a2049df2400da3b8e45f23d77b_240x180.jpg,"$4127

350000сом","2004 г., 1.6 л., механика
седан, бензин
руль слева, 295 000 км
Ош
   "
ToyotaAlphard,https://im.mashina.kg/tachka/images//9/0/6/9068ed14cd24e7aa8c7ab685ff266d46_240x180.jpg,"$9999

847915сом","2004 г., 2.4 л., автомат
минивэн, бензин
руль слева, 139 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//c/d/9/cd909d0fcb6775a2c5ca5804f61310bb_240x180.jpg,"$23000

1950400сом","2018 г., 2.5 л., автомат
седан, бензин
руль слева, 61 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//9/b/3/9b3ff2363e15eced753c9f22dec0d654_240x180.jpg,"$7800

661440сом","2002 г., 2.4 л., автомат
седан, бензин
руль слева, 200 000 км
Ош
   "
Toyota4Runner,https://im.mashina.kg/tachka/images//e/c/e/ece7522e8ef59cdbe5c57608619fd813_240x180.jpg,"$21500

1823200сом","2007 г., 4.7 л., автомат
внедорожник 5 дв., бензин
руль слева
Ош
   "
ToyotaISis,https://im.mashina.kg/tachka/images//2/f/2/2f2911e58bd4b250170a7d3f7ecb8cbf_240x180.jpg,"$6486

550000сом","2004 г., 1.8 л., автомат
минивэн, бензин
руль справа, 300 000 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//b/5/7/b57e3ec7c1e76b42b551fb56410189e6_240x180.jpg,"$6132

520000сом","2003 г., 1.8 л., автомат
универсал, бензин
руль справа, 207 000 км
Ош
   "
ToyotaPrevia,https://im.mashina.kg/tachka/images//3/5/d/35dc65dd820c1dc80d61642c36b9719c_240x180.jpg,"$5500

466400сом","2002 г., 2 л., механика
минивэн, дизель
руль слева
Ош
   "
ToyotaPasso,https://im.mashina.kg/tachka/images//b/9/a/b9ac77a95059fd4139f1bc665988aa73_240x180.jpg,"$3900

330720сом","2004 г., 1 л., автомат
хэтчбек 5 дв., бензин
руль справа, 144 006 км
Ош
   "
ToyotaWindom,https://im.mashina.kg/tachka/images//4/3/1/431f42567eb9c6f434d6cc82e784e001_240x180.jpg,"$8500

720800сом","2003 г., 3 л., автомат
седан, бензин
руль справа, 174 000 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//d/5/c/d5c74c0f11bc1404d88f4b4e38ce357a_240x180.jpg,"$13500

1144800сом","2016 г., 1.8 л., вариатор
седан, бензин
руль слева
Ош
   "
ToyotaIst,https://im.mashina.kg/tachka/images//0/1/a/01a17abbb85312e6cf9adff8cf4fe61d_240x180.jpg,"$5778

490000сом","2002 г., 1.5 л., автомат
хэтчбек 5 дв., бензин
руль справа
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//7/1/3/713ffa0393d2013cd46c0421cf58c1ee_240x180.jpg,"$8500

720800сом","2003 г., 2.4 л., автомат
седан, бензин
руль слева
Ош
   "
ToyotaWish,https://im.mashina.kg/tachka/images//d/5/2/d52f02986b042ab0609bf0b964ee8c4b_240x180.jpg,"$6486

550000сом","2003 г., 1.8 л., автомат
минивэн, бензин
руль справа, 299 999 км
Ноокат"
ToyotaYaris,https://im.mashina.kg/tachka/images//d/2/6/d265eecbed5ea1b732738e2f3f343c9c_240x180.jpg,"$4481

380000сом","2004 г., 1 л., механика
хэтчбек 5 дв., бензин
руль слева, 200 000 км
Ош
   "
ToyotaCamry,https://t1-client.toyota-europe.com/images/toyota-logo.jpg,"$6300

534240сом","2003 г., 2.4 л., механика
седан, бензин
руль слева, 235 000 км
Ноокат"
ToyotaCorolla,https://im.mashina.kg/tachka/images//d/d/5/dd5d5aee24122140cba391c86edfc88b_240x180.jpg,"$5800

491786сом","2004 г., 2 л., механика
хэтчбек 5 дв., дизель
руль слева, 194 000 км
Ноокат"
ToyotaCrown,https://im.mashina.kg/tachka/images//6/2/d/62d7ee5878eef25cdbdb4516dce045a5_240x180.jpg,"$9900

839520сом","2006 г., 3.5 л., автомат
седан, бензин
руль справа
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//f/d/a/fdad0da1e93f0bf247ef11e8992bb250_240x180.jpg,"$7000

593600сом","2007 г., 1.6 л., механика
седан, бензин
руль слева
Узген
"
ToyotaAlphard,https://im.mashina.kg/tachka/images//3/0/5/305fb814f8eeeaf88b121cdc9a6ab852_240x180.jpg,"$8500

720800сом","2005 г., 3 л., автомат
минивэн, бензин
руль справа, 130 000 км
Ош
   "
ToyotaYarisVerso,https://im.mashina.kg/tachka/images//c/d/7/cd73d6b78db1700a8258cd9e8d97a22b_240x180.jpg,"$4481

380000сом","2001 г., 1.3 л., механика
минивэн, бензин
руль слева, 178 000 км
Кара-С"
ToyotaPasso,https://im.mashina.kg/tachka/images//5/2/6/5264ec442973f14cfc879b336f7cf929_240x180.jpg,"$3900

330720сом","2005 г., 1 л., автомат
хэтчбек 5 дв., бензин
руль справа, 169 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//0/6/8/0682cae2fc6ca951656c341761a8a4ab_240x180.jpg,"$9000

763200сом","2007 г., 2.4 л., автомат
седан, бензин
руль слева, 210 000 км
Ош
   "
ToyotaEstima,https://im.mashina.kg/tachka/images//0/d/8/0d879096cfd7c0ba1729101546d8211b_240x180.jpg,"$5307

450000сом","2002 г., 2.4 л., автомат
минивэн, бензин
руль справа, 180 000 км
Ош
   "
ToyotaAygo,https://t1-client.toyota-europe.com/images/toyota-logo.jpg,"$4128

350000сом","2006 г., 1 л., механика
хэтчбек 5 дв., бензин
руль слева
Ноокат"
ToyotaAltezza,https://t1-client.toyota-europe.com/images/toyota-logo.jpg,"$5307

450000сом","2003 г., 2 л., автомат
седан, бензин
руль справа
Ош
   "
ToyotaMarkX,https://im.mashina.kg/tachka/images//b/d/e/bde2def2e6715d8f4e45e50591168cfa_240x180.jpg,"$6486

550000сом","2005 г., 2.5 л., автомат
седан, бензин
руль справа, 280 000 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//a/6/9/a69728b94b0bae1038cc56bed27d0e94_240x180.jpg,"$5542

470000сом","2003 г., 1.4 л., механика
хэтчбек 5 дв., бензин
руль слева, 344 258 км
Ош
   "
ToyotaAltezza,https://im.mashina.kg/tachka/images//d/8/a/d8a7b75befa2e9dd9452f51a247d1660_240x180.jpg,"$4717

400000сом","1999 г., 2 л., автомат
седан, бензин
руль справа, 210 000 км
Ош
   "
ToyotaSequoia,https://im.mashina.kg/tachka/images//a/f/2/af2256b2528f37701cadc31801cd7e27_240x180.jpg,"$11800

1000640сом","2002 г., 4.7 л., автомат
внедорожник 5 дв., бензин
руль слева, 245 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//1/5/9/1595bb0bf685c3333a652d6ff4bfa26f_240x180.jpg,"$8400

712320сом","2002 г., 2.4 л., автомат
седан, бензин
руль слева, 236 000 км
Ош
   "
ToyotaAllion,https://im.mashina.kg/tachka/images//1/e/8/1e8263d0aed836a7bcb39751f55de7d9_240x180.jpg,"$7100

602080сом","2003 г., 1.5 л., автомат
седан, бензин
руль справа, 192 800 км
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//8/4/9/849ec7d5317cfdcb324df92285e8bc88_240x180.jpg,"$3479

295000сом","2000 г., 2 л., механика
хэтчбек 5 дв., бензин
руль слева, 224 000 км
Ноокат"
ToyotaAllion,https://im.mashina.kg/tachka/images//8/e/4/8e4ab332ddca7fb8df1d433397a835ca_240x180.jpg,"$6486

550000сом","2003 г., 1.8 л., автомат
седан, бензин
руль справа, 193 000 км
Ош
   "
ToyotaCorollaVerso,https://im.mashina.kg/tachka/images//e/2/6/e264df2fc8d8d4b5968ccefc55c760bf_240x180.jpg,"$7200

610560сом","2005 г., 1.8 л., робот
минивэн, бензин
руль слева, 156 560 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//8/e/3/8e3cb4047df615d73cf91e24dd0c1875_240x180.jpg,"$6500

551200сом","2002 г., 2.4 л., механика
седан, бензин
руль слева
Ош
   "
ToyotaWindom,https://im.mashina.kg/tachka/images//5/5/6/556534336e0ef4c7850ef0a11f6d2b9d_240x180.jpg,"$3774

320000сом","1996 г., 2.5 л., автомат
седан, бензин
руль справа, 250 000 км
Гульча"
ToyotaYaris,https://im.mashina.kg/tachka/images//c/1/a/c1a7c1853ef655cfe46f1f592b040403_240x180.jpg,"$2948

250000сом","1999 г., 1 л., механика
хэтчбек 5 дв., бензин
руль слева, 247 000 км
Ош
   "
ToyotaPrius,https://im.mashina.kg/tachka/images//3/a/8/3a8fa731fee981faf6b5112e5208957f_240x180.jpg,"$12800

1085440сом","2014 г., 1.8 л., автомат
хэтчбек 5 дв., гибрид
руль слева, 132 000 км
Ош
   "
ToyotaCorona,https://im.mashina.kg/tachka/images//d/f/c/dfc89ec346592f3ef368b312b34e58da_240x180.jpg,"$2123

180000сом","1996 г., 1.8 л., автомат
седан, бензин
руль справа
Ноокат"
ToyotaSucceed,https://im.mashina.kg/tachka/images//f/f/b/ffb5039d43ef194f559b9f868fd7b26a_240x180.jpg,"$4245

360000сом","2003 г., 1.5 л., автомат
универсал, бензин
руль справа, 295 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//2/0/e/20e4cb6b4e325f00cf31d787e06ac460_240x180.jpg,"$8000

678400сом","2003 г., 2.4 л., автомат
седан, бензин
руль слева
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//4/b/1/4b140cf9830138808baf8e4edaac20b0_240x180.jpg,"$3302

280000сом","2000 г., 1.8 л., механика
универсал, бензин
руль слева, 395 000 км
Ноокат"
ToyotaCrown,https://im.mashina.kg/tachka/images//3/c/4/3c4b6c51440269daee94c57d9d900523_240x180.jpg,"$12500

1060000сом","2006 г., 3.5 л., автомат
седан, бензин
руль справа
Ош
   "
ToyotaWish,https://im.mashina.kg/tachka/images//9/f/2/9f24772a787a59482320efd246c726a6_240x180.jpg,"$6486

550000сом","2003 г., 1.8 л., автомат
минивэн, бензин
руль справа
Ноокат"
ToyotaRAV4,https://im.mashina.kg/tachka/images//3/0/6/306e000cd26eac9dd5522ae307de1121_240x180.jpg,"$21000

1780800сом","2016 г., 2.5 л., вариатор
внедорожник 5 дв., гибрид
руль слева, 100 000 км
Ош
   "
ToyotaLandCruiser,https://im.mashina.kg/tachka/images//b/2/7/b27b05d387025c77bb416e466249b3e1_240x180.jpg,"$31500

2670907сом","2009 г., 4.7 л., автомат
внедорожник 5 дв., бензин
руль слева
Ош
   "
ToyotaPrevia,https://im.mashina.kg/tachka/images//4/e/4/4e4a8ed34bf3dc6bee3f671660c4f7c5_240x180.jpg,"$2358

200000сом","1991 г., 2.4 л., механика
минивэн, бензин
руль слева, 314 317 км
Ноокат"
ToyotaCorolla,https://im.mashina.kg/tachka/images//4/7/3/4738eaf7a436492465978486c8f1e7ca_240x180.jpg,"$6663

565000сом","2008 г., 1.4 л., механика
седан, бензин
руль слева, 283 050 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//e/6/d/e6da02ffcff0d6033c833cb11c849fa0_240x180.jpg,"$5307

450000сом","2004 г., 1.6 л., механика
хэтчбек 5 дв., бензин
руль слева, 183 000 км
Ош
   "
ToyotaAlphard,https://im.mashina.kg/tachka/images//2/8/f/28f518f85842379ccc8c9364a69e7559_240x180.jpg,"$7800

661440сом","2002 г., 3 л., автомат
минивэн, бензин
руль справа, 180 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//1/7/0/170bd5b9ad20081c9ff33937b070c863_240x180.jpg,"$9500

805600сом","2005 г., 2.4 л., автомат
седан, бензин
руль слева, 220 000 км
Ош
   "
ToyotaRAV4,https://im.mashina.kg/tachka/images//e/5/5/e5519ba36f1b665f8d5f1c91e49ea884_240x180.jpg,"$12500

1060000сом","2007 г., 2 л., вариатор
внедорожник 5 дв., бензин
руль слева, 196 000 км
Кара-С"
ToyotaAvensis,https://im.mashina.kg/tachka/images//1/e/0/1e0170f22e179e4ce727ce061b84bcdc_240x180.jpg,"$3774

320000сом","2002 г., 1.6 л., механика
седан, бензин
руль слева, 297 300 км
Ош
   "
ToyotaHighlander,https://im.mashina.kg/tachka/images//9/8/e/98e0f1302b4195cfe8ca16edc79eb0e6_240x180.jpg,"$10000

848000сом","2006 г., 3.3 л., автомат
внедорожник 5 дв., гибрид
руль слева
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//f/5/7/f573306f2532957bc97aa7ac363ae73a_240x180.jpg,"$7200

610560сом","2003 г., 2.4 л., автомат
седан, бензин
руль слева
Ош
   "
ToyotaMarkII,https://im.mashina.kg/tachka/images//3/b/e/3be4b1b5a7fa163a7c04449c06e27e9e_240x180.jpg,"$5307

450000сом","2002 г., 2 л., автомат
седан, бензин
руль справа, 231 010 км
Узген
"
ToyotaCamry,https://im.mashina.kg/tachka/images//1/3/6/1364b3e59caf2f086ca2923d3fe3e523_240x180.jpg,"$7311

620000сом","2003 г., 2.4 л., автомат
седан, бензин
руль слева, 232 000 км
Ноокат"
ToyotaCamry,https://im.mashina.kg/tachka/images//6/5/3/653074677e07b9f0d92101fd534bb734_240x180.jpg,"$8800

746240сом","2002 г., 3 л., автомат
седан, бензин
руль слева
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//5/7/1/571042d5d19b180a0261354a35306b72_240x180.jpg,"$7000

593600сом","2003 г., 1.8 л., механика
седан, бензин
руль слева, 240 000 км
Ош
   "
ToyotaYaris,https://im.mashina.kg/tachka/images//c/3/1/c3163d65c9cf989c37c36670117342a1_240x180.jpg,"$4953

420000сом","2006 г., 1.3 л., механика
хэтчбек 5 дв., бензин
руль слева
Ош
   "
ToyotaLandCruiser,https://im.mashina.kg/tachka/images//0/d/1/0d1d62a90a233dc3468b34d445ccbb9e_240x180.jpg,"$16200

1373760сом","2003 г., 4.5 л., автомат
внедорожник 5 дв., бензин
руль слева, 183 200 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//e/a/5/ea516daaef1904b2d71385e07965ed53_240x180.jpg,"$27000

2289349сом","2019 г., 2 л., автомат
седан, бензин
руль слева, 800 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//a/8/a/a8ae87264327872b076cc1c6c6fcdefb_240x180.jpg,"$4953

420000сом","2003 г., 1.4 л., механика
хэтчбек 5 дв., бензин
руль слева, 270 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//3/2/c/32cfb45493d3ec44eb6df10faea1f64a_240x180.jpg,"$12500

1060000сом","2009 г., 2.5 л., автомат
седан, бензин
руль слева, 155 000 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//9/8/c/98cbe5a50203bf0b444d24647088182d_240x180.jpg,"$5719

485000сом","2003 г., 1.6 л., механика
хэтчбек 5 дв., бензин
руль слева, 175 000 км
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//f/9/1/f91763e9b4f0a5dc9780ee83fe588c1b_240x180.jpg,"$3420

290000сом","2000 г., 1.6 л., механика
седан, бензин
руль слева, 360 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//7/1/3/713892316e80d9077ccd1bc6c6443d04_240x180.jpg,"$8000

678400сом","2007 г., 2.4 л., автомат
седан, бензин
руль слева, 305 688 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//1/e/4/1e4e2f0f2cdc21dede8b6f884b0b8569_240x180.jpg,"$13200

1119237сом","2013 г., 2.5 л., автомат
седан, бензин
руль слева
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//1/6/5/1652ab0cd00ffcd55200ed067d362431_240x180.jpg,"$7200

610560сом","2008 г., 2.4 л., автомат
седан, бензин
руль слева, 208 000 км
Ош
   "
ToyotaRaum,https://im.mashina.kg/tachka/images//7/6/a/76a865c553e3c496236db6d232a99514_240x180.jpg,"$4481

380000сом","2003 г., 1.5 л., автомат
минивэн, бензин
руль справа, 250 000 км
Ош
   "
ToyotaCamry,https://t1-client.toyota-europe.com/images/toyota-logo.jpg,"$8500

720800сом","2004 г., 2.4 л., автомат
седан, бензин
руль слева
Ош
   "
ToyotaPrevia,https://t1-client.toyota-europe.com/images/toyota-logo.jpg,"$2005

170000сом","1991 г., 2.4 л., механика
минивэн, бензин
руль слева
Ноокат"
ToyotaCamry,https://im.mashina.kg/tachka/images//8/3/6/836eeeea62305019054275bdb256e9ce_240x180.jpg,"$7000

593600сом","2002 г., 2.4 л., автомат
седан, бензин
руль слева, 215 000 км
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//2/f/1/2f139e5f8e6415cf7c64c1842279f9cb_240x180.jpg,"$3892

330000сом","2000 г., 1.8 л., механика
универсал, бензин
руль слева, 300 000 км
Ноокат"
ToyotaCorolla,https://im.mashina.kg/tachka/images//0/e/0/0e0e76bdd5bfaf7bc20c88eddf91a081_240x180.jpg,"$4363

370000сом","2002 г., 1.4 л., механика
седан, бензин
руль слева, 177 490 км
Ош
   "
ToyotaVitz,https://im.mashina.kg/tachka/images//e/7/8/e786279ce432b642754653579044b83b_240x180.jpg,"$4599

390000сом","2005 г., 1 л., вариатор
хэтчбек 5 дв., бензин
руль справа, 230 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//9/0/d/90d8b6863969c3309cdfd381e3da9a7d_240x180.jpg,"$8000

678400сом","2003 г., 3 л., автомат
седан, бензин
руль слева, 260 000 км
Ош
   "
